Date,Code,Close,ret1_forecast,ret2_forecast
2023-12-15,33150,119.0,0.0023947714087049,0.0065833185312481
2023-12-15,71820,1443.0,0.00218853736678,0.0014639394030888
2023-12-15,68030,95.0,0.0019970837819234,0.0149480471670098
2023-12-15,45960,79.0,0.001744094980482,0.0036024311628154
2023-12-15,86130,828.0,0.0015977331492421,0.0018333174451658
2023-12-15,36870,1229.0,0.0014433434957624,0.0010611007179367
2023-12-15,23450,248.0,0.0014118947058987,0.0240736849758539
2023-12-15,43680,4140.0,0.0013466558940171,-0.0001357916552738
2023-12-15,98120,349.0,0.0012467144416789,0.0016082877032256
2023-12-15,30880,2541.5,0.0011442530295639,0.0051998624659993
2023-12-15,72220,910.0,0.0009993754402175,-0.0010496137521169
2023-12-15,60280,3527.0,0.0008211685242028,-0.0020858376613588
2023-12-15,48400,354.0,0.0008094954999937,0.0018055365758863
2023-12-15,83580,770.0,0.0008063491281944,-9.6492096582907e-05
2023-12-15,60540,259.0,0.000762854543335,0.0009096799087533
2023-12-15,81850,851.0,0.0006763482411418,0.0031720263814209
2023-12-15,25790,2003.5,0.0006350787017315,0.0031375143483158
2023-12-15,82890,525.0,0.0004967925626907,0.0001720867296351
2023-12-15,21850,1213.0,0.0004726377071671,0.0003890537149242
2023-12-15,24240,646.0,0.000451530061482,0.0002815643076342
2023-12-15,26130,1967.0,0.0004490178008569,0.0014898121568951
2023-12-15,35290,500.0,0.0004450767447717,0.0001959086072583
2023-12-15,76760,808.0,0.0004004336631683,0.0043931757555905
2023-12-15,88360,17.0,0.000397562726571,0.0026706424143166
2023-12-15,45990,574.0,0.0003761823446589,0.0147243651623844
2023-12-15,99780,35.0,0.0003742962749208,0.0041287549727781
2023-12-15,91730,2600.0,0.000351124892291,-2.776890348136781e-05
2023-12-15,68750,4485.0,0.0003440523386791,-0.0003905444289549
2023-12-15,78070,1304.0,0.0003429390470365,0.0044429324240571
2023-12-15,43310,1128.0,0.0003046674936252,-0.0005088522373355
2023-12-15,43440,170.0,0.000300301064717,0.0074016219280093
2023-12-15,64540,2964.0,0.0002918329527612,-0.0003416550101413
2023-12-15,90010,3793.0,0.000285349287214,-0.0004495404936648
2023-12-15,31570,1237.0,0.0002812737980877,4.077459778068261e-05
2023-12-15,28130,2260.0,0.0002628447814964,0.0010758090573575
2023-12-15,78930,1272.0,0.0002584928831199,0.0008377478300007
2023-12-15,87470,1102.0,0.000257163796103,0.000582933148046
