	Date	Code	CompanyName	CompanyNameEnglish	Sector17Code	Sector17CodeName	Sector33Code	Sector33CodeName	ScaleCategory	MarketCode	MarketCodeName
3967	2023-07-14	92850	東京インフラ・エネルギー投資法人	Tokyo Infrastructure Energy Investment Corporation	99	その他	9999	その他	-	0109	その他
3968	2023-07-14	92860	エネクス・インフラ投資法人	Enex Infrastructure Investment Corporation	99	その他	9999	その他	-	0109	その他
3969	2023-07-14	92870	ジャパン・インフラファンド投資法人	Japan Infrastructure Fund Investment Corporation	99	その他	9999	その他	-	0109	その他
3970	2023-07-14	93010	三菱倉庫	Mitsubishi Logistics Corporation	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Mid400	0111	プライム
3971	2023-07-14	93020	三井倉庫ホールディングス	MITSUI-SOKO HOLDINGS Co.,Ltd.	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 1	0111	プライム
3972	2023-07-14	93030	住友倉庫	The Sumitomo Warehouse Co.,Ltd.	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 1	0111	プライム
3973	2023-07-14	93040	澁澤倉庫	The Shibusawa Warehouse Co.,Ltd.	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0111	プライム
3974	2023-07-14	93050	ヤマタネ	Yamatane Corporation	13	商社・卸売	6050	卸売業	TOPIX Small 2	0111	プライム
3975	2023-07-14	93060	東陽倉庫	Toyo Logistics Co.,Ltd.	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0112	スタンダード
3976	2023-07-14	93070	杉村倉庫	Sugimura Warehouse Co.,Ltd.	12	運輸・物流	5200	倉庫･運輸関連業	-	0112	スタンダード
3977	2023-07-14	93080	乾汽船	Inui Global Logistics Co.,Ltd.	12	運輸・物流	5100	海運業	TOPIX Small 2	0112	スタンダード
3978	2023-07-14	93100	日本トランスシティ	Japan Transcity Corporation	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0111	プライム
3979	2023-07-14	93110	アサガミ	ASAGAMI CORPORATION	12	運輸・物流	5200	倉庫･運輸関連業	-	0112	スタンダード
